iter	MultiClass
0	0.6245641699
1	0.5684122551
2	0.5205900344
3	0.4804438537
4	0.4466620376
5	0.4174695558
6	0.39196011
7	0.371057558
8	0.3530791382
9	0.3370996805
10	0.3234331023
11	0.3117601166
12	0.300780078
13	0.2908192638
14	0.280279619
15	0.2744936403
16	0.2672189578
17	0.2596092372
18	0.2514782892
19	0.2475477677
20	0.2430755688
21	0.239913401
22	0.2361484561
23	0.2329670346
24	0.228355611
25	0.2239118338
26	0.2218624049
27	0.2181786253
28	0.2163187823
29	0.2139926874
30	0.211246002
31	0.2091286577
32	0.2069168885
33	0.2025611884
34	0.201732525
35	0.2009059687
36	0.1996167938
37	0.1985512532
38	0.1981123484
39	0.1970057099
40	0.1961492814
41	0.1943982362
42	0.1937296866
43	0.1934990766
44	0.1931464468
45	0.1912987124
46	0.1907691592
47	0.1905049628
48	0.1891582314
49	0.1889238785
50	0.1877953252
51	0.1874035691
52	0.186826798
53	0.1865216982
54	0.1863836715
55	0.1862553402
56	0.1847031388
57	0.1832954917
58	0.1831705554
59	0.1829210487
60	0.1827575535
61	0.1822591233
62	0.1821491502
63	0.1820556267
64	0.1819689777
65	0.1813192637
66	0.1812251629
67	0.1808737424
68	0.1807294039
69	0.1804650157
70	0.1803504916
71	0.1802025592
72	0.180097487
73	0.179249874
74	0.1791309312
75	0.1789264308
76	0.178717518
77	0.178553303
78	0.1781183168
79	0.1775086137
80	0.1772971192
81	0.1767689794
82	0.1765165992
83	0.176372081
84	0.176253643
85	0.1758835636
86	0.1758119364
87	0.175658644
88	0.1755440698
89	0.1754552167
90	0.1753582068
91	0.1752636578
92	0.1751449288
93	0.1750598728
94	0.1748037963
95	0.1746709186
96	0.1741628426
97	0.1740682849
98	0.1739611124
99	0.1737122115
