iter	Passed	Remaining
0	261	25888
1	326	15980
2	399	12917
3	469	11266
4	511	9719
5	628	9852
6	679	9022
7	735	8463
8	797	8061
9	885	7968
10	929	7518
11	1110	8140
12	1222	8182
13	1296	7963
14	1434	8131
15	1534	8056
16	1736	8479
17	1780	8109
18	1829	7801
19	1998	7994
20	2195	8258
21	2249	7976
22	2332	7809
23	2493	7895
24	2556	7668
25	2618	7453
26	2674	7232
27	2736	7036
28	2850	6978
29	2963	6915
30	3212	7151
31	3350	7119
32	3429	6962
33	3554	6900
34	3653	6785
35	3809	6772
36	3988	6791
37	4061	6626
38	4110	6429
39	4212	6319
40	4637	6673
41	4870	6725
42	4949	6561
43	5196	6613
44	5339	6526
45	5406	6346
46	5447	6142
47	5540	6002
48	5641	5871
49	5947	5947
50	6112	5872
51	6174	5699
52	6466	5734
53	6523	5557
54	6712	5492
55	6856	5387
56	6923	5223
57	7055	5109
58	7209	5010
59	7256	4837
60	7302	4668
61	7394	4532
62	7536	4426
63	7709	4336
64	7779	4189
65	7823	4030
66	8021	3950
67	8076	3800
68	8304	3731
69	8505	3645
70	8567	3499
71	8697	3382
72	8824	3263
73	9041	3176
74	9162	3054
75	9259	2923
76	9330	2787
77	9391	2649
78	9459	2514
79	9551	2387
80	9616	2255
81	9695	2128
82	9941	2036
83	10093	1922
84	10139	1789
85	10190	1658
86	10460	1563
87	10529	1435
88	10625	1313
89	10755	1195
90	10793	1067
91	11182	972
92	11279	849
93	11490	733
94	11573	609
95	11811	492
96	12006	371
97	12108	247
98	12187	123
99	12380	0
